p95, p99, cpufreq, cpunumber, qps, energyconsumption
31847.643769349997,33197.55342584,1.3GHz,6,4500,3169704838
41088.9869346,42860.40793908,1.3GHz,6,5000,3500013562
51069.8827119,53207.78778819,1.3GHz,6,5500,3855160114
61071.762979549996,63624.42176107,1.3GHz,6,6000,4215809154
5.294521049999999,6.41113865,1.3GHz,7,500,1553815114
5.277574199999999,6.4208884600000005,1.3GHz,7,1000,1779530540
5.284342850000001,6.4381881699999965,1.3GHz,7,1500,1893300573
5.466594,6.62425637,1.3GHz,7,2000,1968719447
5.860261449999999,7.309630090000002,1.3GHz,7,2500,2036047156
10.015165349999995,13.97292096,1.3GHz,7,3000,2095199837
3298.9424867,3461.061364320001,1.3GHz,7,3500,2232094262
11891.620455299999,12420.06577986,1.3GHz,7,4000,2546102796
20553.07160535,21417.90528802,1.3GHz,7,4500,2866292040
29789.831903550003,31076.951345960002,1.3GHz,7,5000,3226160381
38362.151777549996,39959.95727919,1.3GHz,7,5500,3532274283
47028.35817529999,49004.34778931,1.3GHz,7,6000,3848767857
5.38191335,6.469493809999999,1.3GHz,8,500,1627473617
5.384719649999998,6.46437955,1.3GHz,8,1000,1800927946
5.348722100000002,6.479521299999998,1.3GHz,8,1500,1908333494
5.398884649999999,6.539208019999998,1.3GHz,8,2000,1995766986
5.6226385999999975,6.782936660000001,1.3GHz,8,2500,2077270195
6.181572299999998,7.858538990000009,1.3GHz,8,3000,2127528917
17.35997574999999,23.951493890000027,1.3GHz,8,3500,2189566050
5580.843231399999,5848.921006969999,1.3GHz,8,4000,2415016889
13412.5554504,13992.969607579998,1.3GHz,8,4500,2717205080
20699.73745135,21597.1945846,1.3GHz,8,5000,2993422878
29227.9395119,30441.59473641,1.3GHz,8,5500,3318819140
36497.05724475,38021.77597688,1.3GHz,8,6000,3605603746
5.446787349999999,6.50600012,1.3GHz,9,500,1566095173
5.454571799999997,6.533549070000001,1.3GHz,9,1000,1822876864
5.440199400000002,6.556771409999999,1.3GHz,9,1500,1933810113
5.4709781,6.565549439999992,1.3GHz,9,2000,2021960278
5.505802549999999,6.623969150000003,1.3GHz,9,2500,2095718329
5.828706549999999,7.089906940000004,1.3GHz,9,3000,2159846155
7.057503999999997,9.633819390000001,1.3GHz,9,3500,2215261540
327.05529929999994,355.67150335,1.3GHz,9,4000,2275045568
7254.948651299999,7576.031015500001,1.3GHz,9,4500,2547445016
13838.8457842,14450.47606333,1.3GHz,9,5000,2804871665
22182.2025775,23103.53845,1.3GHz,9,5500,3146093691
29087.067870749997,30291.98751881,1.3GHz,9,6000,3420583407
5.5072206,6.538047129999999,1.3GHz,10,500,1696864064
5.4979493999999995,6.55807688,1.3GHz,10,1000,1856533760
5.5180045,6.598950299999998,1.3GHz,10,1500,1951659249
5.652382949999997,6.742654759999999,1.3GHz,10,2000,2045819408
5.584451,6.673538,1.3GHz,10,2500,2125786428
5.717438849999998,6.84803629,1.3GHz,10,3000,2188698743
6.242579899999999,8.041266910000033,1.3GHz,10,3500,2257131856
9.93738275,15.536070420000012,1.3GHz,10,4000,2301986233
3265.2750057499998,3425.5094246400004,1.3GHz,10,4500,2464635963
9932.80871325,10383.689143770001,1.3GHz,10,5000,2743773005
16497.25604135,17180.62908402,1.3GHz,10,5500,3010259750
23944.79844015,24923.648662640004,1.3GHz,10,6000,3323569616
5.5474039,6.567612239999998,1.3GHz,11,500,1685526630
5.569658949999998,6.595726260000003,1.3GHz,11,1000,1846160923
5.560120500000001,6.61988727,1.3GHz,11,1500,1960759079
5.600587599999992,6.65870581,1.3GHz,11,2000,2059853186
5.633194499999999,6.6985023700000035,1.3GHz,11,2500,2146289245
5.745287649999999,6.863108290000003,1.3GHz,11,3000,2217981016
6.028456799999998,7.423337190000002,1.3GHz,11,3500,2290342404
7.8519432999999985,13.772099420000007,1.3GHz,11,4000,2349868252
642.33080855,700.2941997100002,1.3GHz,11,4500,2423961629
6919.0020994,7228.982742030002,1.3GHz,11,5000,2687210223
13651.961333,14211.768445,1.3GHz,11,5500,2972087973
20571.348635450002,21416.14500885,1.3GHz,11,6000,3266230713
5.59948615,6.5852537799999995,1.3GHz,12,500,1685605304
5.583736,6.604157230000003,1.3GHz,12,1000,1836428648
5.64056585,6.70482229,1.3GHz,12,1500,1977041204
5.663079199999998,6.716827799999997,1.3GHz,12,2000,2076217402
5.718860049999996,6.803500030000006,1.3GHz,12,2500,2172374138
5.814189149999999,6.942544970000001,1.3GHz,12,3000,2251383336
6.180236699999998,7.76174016000001,1.3GHz,12,3500,2328134115
8.133088399999997,15.558239390000024,1.3GHz,12,4000,2393403663
709.1657219,747.6031620900001,1.3GHz,12,4500,2470248498
7042.266888249999,7362.9791212499995,1.3GHz,12,5000,2750502846
13153.76948295,13678.0728993,1.3GHz,12,5500,3007584891
19731.9684338,20513.59425884,1.3GHz,12,6000,3289603273
13.776814649999997,20.800936639999975,1.5GHz,1,500,1549948425
29164.97565675,30344.83648506,1.5GHz,1,1000,2541399377
