  QueueTimes | ServiceTimes | SojournTimes
       0.134 |        1.122 |        1.256
       0.181 |        0.391 |        0.571
       0.201 |        2.377 |        2.578
       1.581 |        2.039 |        3.620
       1.042 |        1.508 |        2.550
       1.429 |        0.403 |        1.832
       1.449 |        1.188 |        2.637
       2.496 |        0.413 |        2.909
       0.589 |        2.504 |        3.093
       1.012 |        2.754 |        3.767
       2.431 |        0.383 |        2.814
       0.337 |        0.934 |        1.271
       0.161 |        2.624 |        2.785
       2.114 |        1.261 |        3.374
       0.173 |        0.960 |        1.133
       0.187 |        0.585 |        0.772
       0.158 |        0.462 |        0.620
       0.153 |        1.490 |        1.642
       0.163 |        0.796 |        0.960
       0.186 |        0.707 |        0.893
       0.837 |        0.394 |        1.231
       0.174 |        0.600 |        0.774
       0.135 |        0.470 |        0.605
       0.282 |        0.882 |        1.164
       0.197 |        0.515 |        0.712
       0.690 |        0.695 |        1.385
       0.174 |        1.530 |        1.704
       0.336 |        0.317 |        0.653
       0.635 |        0.631 |        1.266
       0.191 |        0.828 |        1.020
       0.175 |        0.625 |        0.800
       0.178 |        0.550 |        0.728
       0.171 |        0.362 |        0.534
       0.161 |        1.518 |        1.679
       0.149 |        0.901 |        1.050
       0.177 |        1.502 |        1.678
       0.161 |        2.254 |        2.415
       1.433 |        2.357 |        3.790
       0.143 |        0.486 |        0.628
       0.373 |        1.988 |        2.361
       2.322 |        0.468 |        2.790
       0.180 |        1.130 |        1.310
       1.098 |        0.528 |        1.626
       0.139 |        1.628 |        1.767
       0.183 |        2.253 |        2.436
       0.181 |        2.291 |        2.473
       0.187 |        2.292 |        2.479
       1.445 |        0.461 |        1.906
       1.253 |        0.536 |        1.789
       0.188 |        0.623 |        0.811
       0.598 |        2.528 |        3.127
       2.602 |        0.853 |        3.455
       0.161 |        0.538 |        0.699
       0.179 |        0.775 |        0.955
       0.157 |        2.062 |        2.219
       0.176 |        0.539 |        0.715
       0.185 |        1.971 |        2.156
       0.740 |        1.096 |        1.836
       0.167 |        0.900 |        1.067
       0.189 |        1.140 |        1.329
       0.181 |        1.495 |        1.676
       0.183 |        0.609 |        0.792
       0.185 |        1.506 |        1.691
       0.184 |        0.572 |        0.756
       0.192 |        0.717 |        0.909
       0.151 |        1.372 |        1.523
       0.183 |        0.350 |        0.533
       0.515 |        2.307 |        2.821
       1.422 |        0.644 |        2.066
       0.172 |        1.297 |        1.469
       0.183 |        2.830 |        3.013
       1.342 |        0.497 |        1.839
       1.628 |        1.616 |        3.244
       0.178 |        2.107 |        2.285
       0.179 |        0.847 |        1.026
       0.191 |        2.636 |        2.827
       2.638 |        1.938 |        4.575
       3.461 |        0.390 |        3.850
       2.683 |        0.377 |        3.060
       2.598 |        1.728 |        4.327
       4.093 |        2.756 |        6.849
       0.180 |        1.641 |        1.821
       0.622 |        0.331 |        0.953
       0.272 |        1.959 |        2.232
       1.600 |        0.455 |        2.055
       0.623 |        0.684 |        1.307
