  QueueTimes | ServiceTimes | SojournTimes
     123.892 |        0.469 |      124.361
     123.411 |        0.808 |      124.219
     123.290 |        0.957 |      124.247
     123.187 |        0.322 |      123.508
     121.910 |        0.967 |      122.877
     121.861 |        0.265 |      122.126
     121.492 |        0.350 |      121.842
     121.499 |        0.970 |      122.469
     121.764 |        0.169 |      121.934
     121.924 |        1.645 |      123.569
     123.141 |        0.467 |      123.608
     121.496 |        0.805 |      122.301
     121.154 |        1.945 |      123.099
     122.815 |        0.360 |      123.175
     123.045 |        1.171 |      124.216
     121.851 |        1.537 |      123.387
     122.453 |        0.566 |      123.018
     122.488 |        1.830 |      124.318
     124.264 |        1.364 |      125.628
     125.290 |        0.311 |      125.602
     125.253 |        0.275 |      125.528
     125.566 |        1.237 |      126.803
     126.721 |        1.942 |      128.663
     126.382 |        1.163 |      127.545
     126.976 |        0.240 |      127.216
     126.485 |        1.369 |      127.854
     127.929 |        0.326 |      128.255
     128.211 |        0.494 |      128.705
     127.887 |        0.481 |      128.367
     127.123 |        0.282 |      127.405
     127.342 |        0.544 |      127.886
     126.993 |        0.271 |      127.264
     127.083 |        0.942 |      128.025
     127.891 |        1.114 |      129.005
     127.732 |        0.530 |      128.262
     128.090 |        0.325 |      128.416
     127.772 |        0.349 |      128.121
     127.893 |        0.381 |      128.274
     127.831 |        0.314 |      128.145
     128.294 |        0.278 |      128.572
     126.524 |        0.345 |      126.869
     126.105 |        0.386 |      126.492
     123.776 |        1.082 |      124.858
     124.411 |        1.485 |      125.896
     124.459 |        0.259 |      124.718
     122.277 |       31.579 |      153.856
     152.346 |        1.121 |      153.467
     151.923 |        0.370 |      152.293
     152.302 |        0.451 |      152.753
     152.435 |        1.478 |      153.913
     153.300 |        0.381 |      153.682
     152.511 |        0.363 |      152.874
     152.656 |        0.295 |      152.951
     152.452 |        0.596 |      153.049
     153.106 |        0.860 |      153.966
     153.299 |        1.735 |      155.035
     154.782 |        1.699 |      156.481
     153.843 |        1.649 |      155.492
     154.854 |        0.677 |      155.531
     154.565 |        0.355 |      154.920
     153.784 |        0.383 |      154.167
     153.169 |        0.463 |      153.632
     153.357 |        1.263 |      154.620
     153.225 |        0.840 |      154.065
     153.506 |        0.735 |      154.241
     153.570 |        1.088 |      154.658
     153.650 |        1.348 |      154.998
     154.923 |        0.775 |      155.698
     154.517 |        0.409 |      154.926
     154.512 |        0.907 |      155.419
     153.998 |        1.247 |      155.246
     155.168 |        0.270 |      155.438
     154.559 |        0.304 |      154.864
     155.242 |        0.557 |      155.799
     154.480 |        0.289 |      154.769
     155.263 |        0.343 |      155.606
     154.781 |        0.980 |      155.762
     155.287 |        0.351 |      155.638
     155.526 |        0.339 |      155.865
     155.479 |        1.400 |      156.878
     156.384 |        0.912 |      157.296
     157.156 |        1.073 |      158.229
     158.050 |        0.216 |      158.267
     157.877 |        0.278 |      158.156
     157.444 |        0.339 |      157.783
     157.366 |        0.526 |      157.892
     157.457 |        0.760 |      158.217
     158.171 |        0.535 |      158.706
     158.220 |        0.780 |      159.000
     158.366 |        0.825 |      159.191
     159.135 |        0.485 |      159.620
     159.440 |        0.608 |      160.048
     159.127 |        0.806 |      159.934
     159.768 |        0.229 |      159.998
     160.214 |        0.387 |      160.602
     159.671 |        0.636 |      160.307
     158.648 |        0.297 |      158.945
     157.658 |        0.438 |      158.096
     156.893 |        1.260 |      158.153
     158.049 |        0.873 |      158.922
     158.759 |        0.327 |      159.086
     159.000 |        0.806 |      159.806
     159.034 |        0.567 |      159.601
     156.817 |        0.911 |      157.728
     156.029 |        0.297 |      156.326
     155.238 |        0.367 |      155.605
     155.424 |        0.404 |      155.827
     155.445 |        0.363 |      155.809
     155.732 |        0.784 |      156.516
     156.102 |        0.723 |      156.825
     155.648 |        0.259 |      155.906
     154.773 |        0.256 |      155.029
     155.004 |        0.479 |      155.484
     154.194 |        0.747 |      154.941
     154.319 |        0.322 |      154.640
     154.591 |        0.455 |      155.046
     154.820 |        0.599 |      155.419
     154.905 |        0.448 |      155.353
     154.538 |        1.899 |      156.437
     154.455 |        1.744 |      156.199
     155.105 |        0.261 |      155.366
     154.831 |        1.006 |      155.836
     153.445 |        1.998 |      155.443
     154.290 |        0.214 |      154.504
     152.197 |        0.711 |      152.907
     152.250 |        1.511 |      153.762
     151.927 |        0.291 |      152.218
     151.824 |        0.817 |      152.641
     152.185 |        0.328 |      152.513
     151.509 |        0.461 |      151.970
     150.778 |        0.786 |      151.564
     150.827 |        0.413 |      151.240
     150.638 |        1.206 |      151.844
     150.970 |        0.525 |      151.495
     150.585 |        0.490 |      151.075
     150.250 |        1.008 |      151.258
     149.933 |        0.553 |      150.486
     150.425 |        2.028 |      152.454
     150.579 |        0.586 |      151.165
     150.897 |        1.197 |      152.094
     151.800 |        0.314 |      152.114
     151.695 |        0.846 |      152.541
     152.659 |        0.658 |      153.317
     151.743 |        0.566 |      152.309
     152.175 |        0.334 |      152.510
     150.843 |        0.276 |      151.119
     149.937 |        1.542 |      151.479
     151.297 |        0.608 |      151.905
     151.260 |        0.389 |      151.649
     149.716 |        0.285 |      150.001
     147.094 |        0.733 |      147.826
     146.758 |        0.277 |      147.036
     145.269 |        1.470 |      146.739
     144.893 |        0.780 |      145.673
     145.035 |        1.497 |      146.532
     145.068 |        0.234 |      145.301
     144.688 |        0.828 |      145.515
     144.349 |        1.545 |      145.894
     145.338 |        0.265 |      145.603
     145.443 |        0.128 |      145.571
     145.010 |        0.616 |      145.626
     145.157 |        0.308 |      145.466
     144.635 |        1.194 |      145.829
     145.751 |        0.803 |      146.554
     145.771 |        0.533 |      146.304
     145.704 |        0.604 |      146.308
     143.885 |        1.343 |      145.228
     144.803 |        0.439 |      145.241
     145.221 |        1.397 |      146.617
     145.669 |        0.999 |      146.667
     146.571 |        0.337 |      146.908
     145.728 |        0.407 |      146.135
     145.682 |        0.247 |      145.930
     145.876 |        1.848 |      147.725
     147.136 |        0.439 |      147.575
