mslong,sys_current,a57_current,a53_current,gpu_current,sys_voltage,a57_voltage,a53_voltage,gpu_voltage,sys_power,a57_power,a53_power,gpu_power,sys_energy,a57_energy,a53_energy,gpu_energy
1520969172481,0.850197,0.110236,0.126150,0.094488,0.906289,1.008015,0.807028,0.908138,0.771715,0.111120,0.102946,0.085808,14718233.679928,2536622.752575,943615.818312,1577038.379921
1520969172581,0.877792,0.125984,0.136662,0.094488,0.906289,1.007398,0.810727,0.909988,0.788388,0.126916,0.110796,0.085983,14718233.756965,2536622.763819,943615.828758,1577038.388435
1520969172681,0.871222,0.123360,0.132720,0.094488,0.906289,1.007398,0.807645,0.909371,0.787197,0.121628,0.105148,0.085925,14718233.833521,2536622.774568,943615.839153,1577038.396940
1520969172781,0.843627,0.104987,0.130092,0.091864,0.905672,1.007398,0.807028,0.908138,0.764049,0.105764,0.104988,0.083425,14718233.910307,2536622.785474,943615.849965,1577038.405453
1520969172882,0.872536,0.125984,0.136662,0.094488,0.906289,1.008631,0.807028,0.908755,0.794883,0.129719,0.108169,0.085867,14718233.987983,2536622.797126,943615.861287,1577038.413962
1520969172982,0.862024,0.107612,0.123522,0.094488,0.906289,1.008015,0.807645,0.908755,0.781242,0.108474,0.099762,0.085867,14718234.066087,2536622.808283,943615.868816,1577038.422463
1520969173082,0.893561,0.144357,0.143233,0.094488,0.906905,1.009248,0.809494,0.908755,0.812206,0.148341,0.119046,0.085867,14718234.145784,2536622.823810,943615.878556,1577038.430983
1520969173182,0.867280,0.120735,0.148489,0.094488,0.906289,1.007398,0.810727,0.910604,0.786006,0.121628,0.120384,0.086041,14718234.223839,2536622.835636,943615.890065,1577038.439520
1520969173282,0.839685,0.104987,0.119580,0.094488,0.905672,1.008015,0.807645,0.908755,0.760479,0.105828,0.096578,0.085867,14718234.301047,2536622.846866,943615.900707,1577038.448055
1520969173382,0.839685,0.104987,0.119580,0.094488,0.905672,1.008015,0.807028,0.908755,0.760479,0.105828,0.096504,0.085867,14718234.377627,2536622.857794,943615.910950,1577038.456574
1520969173482,0.842313,0.102362,0.120894,0.094488,0.905672,1.008015,0.807028,0.908755,0.761669,0.103183,0.097639,0.085867,14718234.453990,2536622.868597,943615.921342,1577038.465074
1520969173582,0.835742,0.102362,0.119580,0.091864,0.906289,1.008015,0.807028,0.908755,0.757424,0.103183,0.096504,0.083481,14718234.530152,2536622.879224,943615.931157,1577038.473579
1520969173682,0.851511,0.112861,0.124836,0.094488,0.905672,1.008015,0.807645,0.908755,0.772380,0.113765,0.101884,0.085867,14718234.606446,2536622.889866,943615.941006,1577038.482057
1520969173782,0.842313,0.102362,0.126150,0.091864,0.905672,1.008015,0.807645,0.908755,0.762859,0.103183,0.101884,0.083481,14718234.683192,2536622.900843,943615.951348,1577038.490546
1520969173882,0.839685,0.102362,0.127464,0.094488,0.905672,1.007398,0.807028,0.908755,0.759289,0.103120,0.102867,0.085867,14718234.759405,2536622.911523,943615.961704,1577038.499022
1520969173983,0.852825,0.110236,0.149803,0.094488,0.906289,1.008015,0.808878,0.909371,0.772906,0.111120,0.121172,0.085925,14718234.836215,2536622.922463,943615.972672,1577038.507513
1520969174083,0.872536,0.120735,0.127464,0.091864,0.906289,1.008015,0.807645,0.908755,0.794342,0.121703,0.105068,0.083481,14718234.914968,2536622.934608,943615.980509,1577038.515988
1520969174183,0.839685,0.104987,0.136662,0.094488,0.905672,1.008015,0.807028,0.908755,0.760479,0.105828,0.110290,0.085808,14718234.993092,2536622.946441,943615.991788,1577038.524488
1520969174283,0.856767,0.112861,0.139290,0.094488,0.906905,1.008015,0.808878,0.908755,0.775815,0.113765,0.112669,0.085867,14718235.071172,2536622.958293,943616.003325,1577038.533000
1520969174383,0.856767,0.115486,0.130092,0.094488,0.906289,1.008015,0.807028,0.908138,0.775950,0.113765,0.104988,0.085808,14718235.149446,2536622.970359,943616.014461,1577038.541534
1520969174483,0.839685,0.104987,0.120894,0.094488,0.905672,1.008015,0.807028,0.908755,0.760479,0.105828,0.097565,0.085867,14718235.227263,2536622.982014,943616.025414,1577038.550062
1520969174583,0.839685,0.104987,0.120894,0.094488,0.906289,1.008015,0.807645,0.908755,0.760997,0.105828,0.097639,0.085867,14718235.304206,2536622.993026,943616.035651,1577038.558579
1520969174683,0.865966,0.120735,0.124836,0.094488,0.906289,1.008015,0.807645,0.908755,0.784815,0.121703,0.100823,0.085867,14718235.380847,2536623.003987,943616.045795,1577038.567093
1520969174783,0.863338,0.120735,0.127464,0.094488,0.906289,1.008015,0.807645,0.908755,0.780711,0.119057,0.101884,0.085867,14718235.457846,2536623.015198,943616.055801,1577038.575573
1520969174883,0.873850,0.125984,0.120894,0.094488,0.906905,1.007398,0.808261,0.909371,0.792499,0.126916,0.097714,0.085925,14718235.534885,2536623.026456,943616.065870,1577038.584084
1520969174983,0.838371,0.102362,0.119580,0.094488,0.905672,1.008015,0.807028,0.908755,0.759289,0.103183,0.096504,0.085867,14718235.611288,2536623.037106,943616.075798,1577038.592587
1520969175084,0.837057,0.102362,0.119580,0.094488,0.905672,1.007398,0.807028,0.908755,0.758099,0.103120,0.096504,0.085867,14718235.687527,2536623.047667,943616.085642,1577038.601079
1520969175184,0.850197,0.102362,0.120894,0.091864,0.905672,1.008015,0.807028,0.908138,0.769333,0.103183,0.097565,0.083425,14718235.763721,2536623.058140,943616.095477,1577038.609560
1520969175284,0.842313,0.102362,0.122208,0.094488,0.906289,1.008015,0.807028,0.908755,0.763378,0.103183,0.098625,0.085867,14718235.840043,2536623.068683,943616.105358,1577038.618048
1520969175384,0.843627,0.102362,0.120894,0.094488,0.905672,1.008015,0.807028,0.908755,0.762859,0.103183,0.097565,0.085867,14718235.916282,2536623.079242,943616.115240,1577038.626525
1520969175484,0.840999,0.102362,0.123522,0.091864,0.906289,1.008015,0.807028,0.908138,0.762187,0.103183,0.099686,0.083425,14718235.992767,2536623.089959,943616.126015,1577038.635000
1520969175584,0.837057,0.102362,0.126150,0.091864,0.906289,1.008015,0.807028,0.908138,0.758615,0.103183,0.101806,0.083425,14718236.068965,2536623.100512,943616.136386,1577038.643471
1520969175684,0.852825,0.110236,0.128778,0.091864,0.905672,1.008015,0.807028,0.908138,0.772380,0.111120,0.103927,0.083425,14718236.145375,2536623.111211,943616.146771,1577038.651955
1520969175784,0.839685,0.104987,0.130092,0.094488,0.906289,1.008015,0.807028,0.908755,0.760997,0.105828,0.104988,0.085867,14718236.221781,2536623.121884,943616.157248,1577038.660434
