Linux 5.0.0-31-generic (yong) 	11/21/19 	_x86_64_	(48 CPU)

18:33:09        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:33:47         20     52.53      0.00     15.15      0.00      0.00     32.32
18:33:47         22      0.00      0.00      0.00      0.00      0.00    100.00

18:33:47        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:33:49          0     54.64      0.00     12.89      0.00      0.00     32.47
18:33:49          2     55.38      0.00     13.85      0.00      0.00     30.77
18:33:49          4     56.35      0.00     11.68      0.00      0.00     31.98
18:33:49          6     58.38      0.00      9.64      0.00      0.00     31.98
18:33:49          8     55.33      0.00     13.20      0.00      0.00     31.47
18:33:49         10     56.06      0.00     12.12      0.00      0.00     31.82
18:33:49         12     56.65      0.00     12.32      0.00      0.00     31.03
18:33:49         14     56.44      0.00     11.88      0.00      0.00     31.68
18:33:49         16     55.33      0.00     13.20      0.00      0.00     31.47
18:33:49         18     56.00      0.00     12.50      0.00      0.00     31.50
18:33:49         20     57.81      0.00     10.42      0.00      0.00     31.77
18:33:49         22      0.00      0.00      0.00      0.00      0.00    100.00

18:33:49        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:33:51          0     55.85      0.00     10.64      0.00      0.00     33.51
18:33:51          2     54.46      0.00     14.85      0.00      0.00     30.69
18:33:51          4     55.78      0.00     12.06      0.00      0.00     32.16
18:33:51          6     55.00      0.00     12.50      0.00      0.00     32.50
18:33:51          8     55.88      0.00     13.73      0.00      0.00     30.39
18:33:51         10     50.76      0.00     16.75      0.00      0.00     32.49
18:33:51         12     55.72      0.00     12.94      0.00      0.00     31.34
18:33:51         14     57.36      0.00     10.15      0.00      0.00     32.49
18:33:51         16     53.06      0.00     14.29      0.00      0.00     32.65
18:33:51         18     54.36      0.00     12.82      0.00      0.00     32.82
18:33:51         20     55.90      0.00     11.79      0.00      0.00     32.31
18:33:51         22      0.00      0.00      0.00      0.00      0.00    100.00

18:33:51        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:33:53          0     54.73      0.00     13.93      0.00      0.00     31.34
18:33:53          2     55.28      0.00     12.56      0.00      0.00     32.16
18:33:53          4     57.43      0.00     10.89      0.00      0.00     31.68
18:33:53          6     52.50      0.00     15.00      0.00      0.00     32.50
18:33:53          8     51.79      0.00     15.38      0.00      0.00     32.82
18:33:53         10     50.53      0.00     14.74      0.00      0.00     34.74
18:33:53         12     56.85      0.00     10.15      0.00      0.00     32.99
18:33:53         14     55.84      0.00     12.18      0.00      0.00     31.98
18:33:53         16     56.22      0.00     11.94      0.00      0.00     31.84
18:33:53         18     54.19      0.00     13.79      0.00      0.00     32.02
18:33:53         20     57.71      0.00     10.95      0.00      0.00     31.34
18:33:53         22      0.00      0.00      0.00      0.00      0.00    100.00

18:33:53        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:33:55          0     53.57      0.00     14.80      0.00      0.00     31.63
18:33:55          2     50.79      0.00     15.71      0.00      0.00     33.51
18:33:55          4     52.31      0.00     14.87      0.00      0.00     32.82
18:33:55          6     56.78      0.00     12.06      0.00      0.00     31.16
