  Key Length |   QueueTimes | ServiceTimes | SojournTimes
      11.000 |        8.428 |        0.445 |        8.873
      12.000 |        8.798 |        0.803 |        9.601
      14.000 |        8.930 |        0.665 |        9.595
       8.000 |        8.512 |        0.352 |        8.863
       8.000 |        8.499 |        1.942 |       10.441
       8.000 |        8.606 |        1.884 |       10.490
       6.000 |        8.545 |        0.720 |        9.265
       8.000 |        8.650 |        0.438 |        9.088
       4.000 |        8.676 |        0.489 |        9.165
       8.000 |        8.472 |        0.637 |        9.109
       9.000 |        8.514 |        0.287 |        8.802
      15.000 |        8.547 |        0.772 |        9.319
       8.000 |        8.540 |        0.391 |        8.931
      13.000 |        8.584 |        0.698 |        9.283
       9.000 |        8.697 |        0.473 |        9.170
       8.000 |        8.463 |        2.219 |       10.681
      11.000 |        8.834 |        0.383 |        9.217
      10.000 |        8.568 |        1.477 |       10.045
       9.000 |        8.494 |        1.656 |       10.150
      13.000 |        8.604 |        1.267 |        9.870
      12.000 |        8.837 |        0.390 |        9.227
       6.000 |        8.634 |        0.856 |        9.490
      11.000 |        8.692 |        2.427 |       11.119
       9.000 |        9.122 |        0.541 |        9.663
       9.000 |        9.071 |        0.365 |        9.436
      11.000 |        8.833 |        0.857 |        9.690
       6.000 |        8.550 |        0.442 |        8.992
      10.000 |        8.488 |        0.463 |        8.951
       9.000 |        8.495 |        0.505 |        8.999
       9.000 |        8.593 |        0.404 |        8.997
       9.000 |        8.497 |        0.383 |        8.880
       9.000 |        8.540 |        0.606 |        9.146
      11.000 |        8.800 |        0.352 |        9.152
       7.000 |        8.713 |        2.334 |       11.047
      12.000 |        8.753 |        1.722 |       10.475
       7.000 |        8.667 |        0.810 |        9.477
       8.000 |        8.638 |        0.384 |        9.023
       5.000 |        8.629 |        1.443 |       10.072
      17.000 |        8.575 |        0.413 |        8.987
       9.000 |        8.759 |        2.293 |       11.052
       8.000 |        8.622 |        0.972 |        9.594
       9.000 |        8.725 |        0.424 |        9.149
       7.000 |        8.693 |        1.128 |        9.821
       9.000 |        9.021 |        0.388 |        9.409
       6.000 |        8.856 |        1.947 |       10.803
      14.000 |        9.136 |        0.350 |        9.486
       9.000 |        8.827 |        1.143 |        9.970
      15.000 |        8.649 |        1.496 |       10.145
       5.000 |        8.649 |        2.044 |       10.693
       8.000 |        8.696 |        2.171 |       10.867
       8.000 |        9.202 |        0.919 |       10.121
       6.000 |        9.474 |        0.425 |        9.898
      11.000 |        9.227 |        0.881 |       10.108
       7.000 |        9.427 |        0.428 |        9.855
       9.000 |        9.361 |        1.233 |       10.594
      12.000 |        9.247 |        0.364 |        9.611
       4.000 |        9.071 |        2.413 |       11.484
      11.000 |        9.221 |        0.584 |        9.805
       6.000 |        9.248 |        0.760 |       10.008
      10.000 |        9.306 |        0.568 |        9.874
      20.000 |        9.131 |        2.628 |       11.759
      10.000 |        9.581 |        0.455 |       10.036
      12.000 |        9.466 |        1.457 |       10.923
      10.000 |        9.575 |        0.535 |       10.110
      10.000 |        9.602 |        0.334 |        9.936
       6.000 |        9.229 |        2.605 |       11.834
       8.000 |        9.538 |        0.741 |       10.278
       6.000 |        9.826 |        0.739 |       10.564
       5.000 |        9.700 |        0.362 |       10.063
       9.000 |        9.810 |        0.489 |       10.299
       7.000 |        9.701 |        0.399 |       10.100
      11.000 |        9.975 |        0.646 |       10.621
       9.000 |        9.811 |        0.842 |       10.654
      10.000 |        9.641 |        1.301 |       10.942
      11.000 |        9.440 |        0.484 |        9.924
       8.000 |        9.778 |        0.921 |       10.699
       7.000 |        9.670 |        0.437 |       10.107
